id,url,image_url
22971159,https://www.inaturalist.org/observations/22971159,https://inaturalist-open-data.s3.amazonaws.com/photos/35607553/medium.jpg
23013716,https://www.inaturalist.org/observations/23013716,https://inaturalist-open-data.s3.amazonaws.com/photos/35675453/medium.jpg
23036761,https://www.inaturalist.org/observations/23036761,https://inaturalist-open-data.s3.amazonaws.com/photos/35712439/medium.jpg
23282707,https://www.inaturalist.org/observations/23282707,https://inaturalist-open-data.s3.amazonaws.com/photos/36075785/medium.jpg
23802564,https://www.inaturalist.org/observations/23802564,https://inaturalist-open-data.s3.amazonaws.com/photos/36830924/medium.jpg
24204511,https://www.inaturalist.org/observations/24204511,https://inaturalist-open-data.s3.amazonaws.com/photos/37428431/medium.jpeg
24904756,https://www.inaturalist.org/observations/24904756,https://inaturalist-open-data.s3.amazonaws.com/photos/38524148/medium.jpeg
25066787,https://www.inaturalist.org/observations/25066787,https://static.inaturalist.org/photos/38790788/medium.jpg
25128021,https://www.inaturalist.org/observations/25128021,https://inaturalist-open-data.s3.amazonaws.com/photos/38890782/medium.jpg
25633436,https://www.inaturalist.org/observations/25633436,https://static.inaturalist.org/photos/39724437/medium.jpeg
25749008,https://www.inaturalist.org/observations/25749008,https://inaturalist-open-data.s3.amazonaws.com/photos/39915713/medium.jpg
25749095,https://www.inaturalist.org/observations/25749095,https://inaturalist-open-data.s3.amazonaws.com/photos/39915880/medium.jpg
26056421,https://www.inaturalist.org/observations/26056421,https://inaturalist-open-data.s3.amazonaws.com/photos/40426190/medium.jpeg
26137603,https://www.inaturalist.org/observations/26137603,https://static.inaturalist.org/photos/40556914/medium.jpg
26251333,https://www.inaturalist.org/observations/26251333,https://static.inaturalist.org/photos/40746634/medium.jpg
26289159,https://www.inaturalist.org/observations/26289159,https://static.inaturalist.org/photos/40808006/medium.jpg
26425612,https://www.inaturalist.org/observations/26425612,https://inaturalist-open-data.s3.amazonaws.com/photos/41032731/medium.jpg
